Type,Name,Data,TTL,Propagation,Copy,Delete,Edit
a,@,192.124.249.59,600 seconds,,,,
a,app,31.97.12.201,600 seconds,,,,
a,sucuriip,192.169.223.12,600 seconds,,,,
ns,@,ns53.domaincontrol.com.,1 Hour,,,,
ns,@,ns54.domaincontrol.com.,1 Hour,,,,
cname,autodiscover,autodiscover.outlook.com.,1 Hour,,,,
cname,email,email.secureserver.net.,1 Hour,,,,
cname,ftp,sucuriip.medxscottsdale.com.,1 Hour,,,,
cname,lyncdiscover,webdir.online.lync.com.,1 Hour,,,,
cname,msoid,clientconfig.microsoftonline-p.net.,1 Hour,,,,
cname,sip,sipdir.online.lync.com.,1 Hour,,,,
cname,www,medxscottsdale.com.,1 Hour,,,,
cname,_acme-challenge,medxscottsdale.com.5b6e1b0351bd6062.dcv.cloudflare.com.,1 Hour,,,,
cname,_domainconnect,_domainconnect.gd.domaincontrol.com.,1 Hour,,,,
soa,@,Primary nameserver: ns53.domaincontrol.com.,1 Hour,,,,
mx,@,mx1-us1.ppe-hosted.com. (Priority: 10),1 Hour,,,,
mx,@,mx2-us1.ppe-hosted.com. (Priority: 20),1 Hour,,,,
txt,@,google-site-verification=xIpMiGZEATw2XxRTMS-gjWTkcKHczDCcVa1zow5bdPo,1 Hour,,,,
txt,@,MS=ms99138155,600 seconds,,,,
txt,@,v=spf1 a:dispatch-us.ppe-hosted.com include:secureserver.net -all,1 Hour,,,,
srv,_sip._tls.@,100 1 443 sipdir.online.lync.com.,1 Hour,,,,
srv,_sipfederationtls._tcp.@,100 1 5061 sipfed.online.lync.com.,1 Hour,,,,
